序号,餐厅名称,餐厅地址,详情信息
51,汽车南站精选,常熟市招商东路1号,精选店
52,昆山永盛,昆山市北门路1118号永盛广场,"24小时,Wi-Fi,礼品卡"
53,常熟虞景文华,常熟市北门大街虞景文华广场内34-35号,"24小时,Wi-Fi,点唱机,店内参观,礼品卡"
54,方洲,工业园区方洲路528号方洲邻里中心,"24小时,Wi-Fi,礼品卡,生日餐会"
55,园区泾园,工业园区扬东路277号新屹大厦1幢102室一层,"Wi-Fi,礼品卡"
56,昆山朝阳（中医院斜对面）,昆山市人民南路125号,"24小时,Wi-Fi,礼品卡"
57,新华,太仓市新华西路5号,"24小时,Wi-Fi,点唱机,礼品卡,生日餐会"
58,邻里,现代大道158号新城大厦邻里中心A101,"Wi-Fi,礼品卡,生日餐会"
59,虞山,常熟市和平街2号,"24小时,Wi-Fi,店内参观,礼品卡"
60,观前新,观前街111号,"Wi-Fi,点唱机,店内参观,礼品卡"
61,三香,三香路345号,"24小时,Wi-Fi,点唱机,礼品卡"
62,威尼斯,阊胥路282-300号,"Wi-Fi,点唱机,店内参观,礼品卡"
63,昆山大润发,昆山市朝阳中路516号,"Wi-Fi,店内参观,礼品卡,生日餐会"
64,盘门百润发,解放东路13号,"24小时,Wi-Fi,店内参观,礼品卡"
65,张家港百润发,张家港市沙洲中路288号,"24小时,Wi-Fi,店内参观,礼品卡"
66,体育中心肯德基,三香路183-184号,"24小时,Wi-Fi,礼品卡"
67,常熟百润发,常熟市新颜东路1号大润发常熟店1层,"Wi-Fi,点唱机,礼品卡"
68,南环,东吴北路288号沃尔玛超市一楼,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
69,何山,滨河路1823号何山大润发一层,"24小时,Wi-Fi,礼品卡"
70,新南站,南环东路601号一层,"Wi-Fi,礼品卡"
71,昆山易莲花,长江北路128号(萧林路路口)易初莲花昆山店一层,"Wi-Fi,礼品卡,生日餐会"
72,常熟世纪,常熟市白雪路18号世纪联华卖场内,"Wi-Fi,店内参观,礼品卡,生日餐会"
73,松陵百润发,吴江市笠泽路117号恒森广场百润发,"24小时,Wi-Fi,礼品卡,生日餐会"
74,吴江永康,吴江市松陵镇永康路68号,"Wi-Fi,礼品卡"
75,木渎(香港街）,吴中区木渎镇中山西路16-12号,"24小时,Wi-Fi,点唱机,店内参观,礼品卡"
76,观中,观前街136号,"Wi-Fi,店内参观,礼品卡"
77,金港,张家港市金港镇长江中路中央广场内,"24小时,Wi-Fi,店内参观,礼品卡"
78,长安,张家港市长安路221号,"Wi-Fi,礼品卡"
79,常熟欧尚,常熟市虞山镇黄河路255号欧尚常熟店1层,"24小时,Wi-Fi,点唱机,礼品卡"
80,贵宾,干将东路888号,"24小时,Wi-Fi,店内参观,礼品卡"
81,跨塘,跨塘镇葑亭大道锦丰泰盛生活广场西区1号楼,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
82,相城,相城经济开发区华元路99号,"24小时,Wi-Fi,店内参观,礼品卡"
83,绿宝广场,虎丘区长江路绿宝广场1楼,"24小时,Wi-Fi,礼品卡"
84,饮马桥,人民路1001号,"Wi-Fi,店内参观,礼品卡,生日餐会"
85,杨枝塘,葑谊路266号家乐福超市一楼铺位号A03,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
86,盛泽市场,吴江市盛泽镇东方丝绸市场十字河西1层1区157号,"24小时,Wi-Fi,店内参观,礼品卡"
87,常熟方塔街,常熟市虞山镇方塔街5号秋艳服饰1-2层,"Wi-Fi,点唱机,礼品卡"
88,塔园,华润超市塔园店-68182985,"24小时,Wi-Fi,点唱机,礼品卡,生日餐会"
89,常熟海虞,常熟市海虞北路27号常客隆超一层,"Wi-Fi,点唱机,店内参观,礼品卡"
90,金枫,金枫南路1号华润超市,"24小时,Wi-Fi,点唱机,礼品卡"
91,盛泽舜新,吴江市舜新中路27号大润发卖场一层,"Wi-Fi,礼品卡"
92,太仓润南,太仓市太平南路东、南阳路南，大润发卖场,"24小时,Wi-Fi,点唱机,礼品卡"
93,柏庐,昆山市柏庐路吉田国际广场,"Wi-Fi,店内参观,礼品卡,生日餐会"
94,西蒙,常熟市海虞南路88号印象城一楼,"Wi-Fi,店内参观,礼品卡,生日餐会"
95,震泽,吴江市震泽镇镇南路1000号江南缘项目C区,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
96,张家港汽车站,张家港华昌路长途汽车客运站,"Wi-Fi,礼品卡"
97,太仓南洋,太仓市人民南路19号,"24小时,Wi-Fi,点唱机,店内参观,礼品卡"
98,昆山欧尚,昆山市玉山镇白马泾路46号欧尚卖场1层,"Wi-Fi,礼品卡"
99,太仓沙溪,太仓市沙溪镇白云路146号,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
100,园区华池,工业园区圆融时代广场S2栋C幢旺敦路268号,"Wi-Fi,店内参观,礼品卡"
101,园区林泉,工业园区林泉街671号,"24小时,Wi-Fi,礼品卡"
102,常熟天虹,常熟市招商北路8号(常熟天虹服装城),"24小时,Wi-Fi,店内参观,礼品卡"
103,木渎金山,木渎镇金山路37号(天虹旁）,"Wi-Fi,店内参观,礼品卡,生日餐会"
104,相城元和,相城区元和镇阳澄湖东路1号,"24小时,Wi-Fi,礼品卡"
105,太仓汽车站,太仓市新区太平北路107号汽车客运中心站一、二层,"Wi-Fi,店内参观,礼品卡"
106,常熟珠江/新欧尚一楼,常熟市珠江东路98号欧尚超市一层,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
107,园区苏雅,工业园区苏雅路388号园区天虹A座一楼肯德基,"Wi-Fi,礼品卡"
108,甪直,吴中区甪直镇晓路26号,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
109,东环路,东环路1500号大润发超内,"24小时,Wi-Fi,店内参观,礼品卡"
110,平江新城,平江区人民路3188号万达商业广场家乐福一层,"Wi-Fi,店内参观,礼品卡,生日餐会"
111,平望,吴江市平望镇通运路44号,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
112,富邻广场,金阊区物流园富强路北、虎新路东富邻商业广场3号楼一层,"Wi-Fi,店内参观,礼品卡,生日餐会"
113,张家港长丰,张家港市大新镇长丰村府前东路20号一层,"Wi-Fi,店内参观,礼品卡,生日餐会"
114,金鸡湖邻里,工业园区金鸡湖大道和西华林街交界处邻瑞广场,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
115,钟慧路,苏州工业园区钟慧路华润万家购物中心二楼,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
116,相城太平邻里,相城区太平街道兴太路35号邻里中心,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
117,昆山北门路,昆山市北门路267号,"24小时,Wi-Fi,店内参观,礼品卡"
118,东吴北路,吴中区东吴北路111号朗庭1层,"Wi-Fi,店内参观,礼品卡,生日餐会"
119,昆山花桥,昆山市花桥镇花安路171号,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
120,太仓浏河,太仓市浏河镇郑和大街南侧浏河汽车站一层,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
121,常熟梅李,常熟市梅李镇通江路11号银河苑1区5幢123-124号一层二层,"24小时,Wi-Fi,点唱机,礼品卡,生日餐会"
122,同里,吴江区同里镇同里景区南入口石牌楼东侧旅游集散中心一层,"24小时,Wi-Fi,店内参观,礼品卡"
123,张家港华昌路DT,张家港市华昌路与华山路口交汇处湖滨世家,"Wi-Fi,礼品卡"
124,江星,姑苏区城北东路1188号（江星广场华润万家店）,"Wi-Fi,店内参观,礼品卡,生日餐会"
125,繁花,相城区人民路4555号繁花中心一层,"Wi-Fi,店内参观,礼品卡"
126,木渎影视城,木渎镇金山南路228号苏州国际影视娱乐城3号楼1层,"Wi-Fi,店内参观,礼品卡,生日餐会"
127,吴江万宝大润发,吴江区中山南路1088号一层S1001,"Wi-Fi,点唱机,礼品卡"
128,相城漕湖,相城区漕湖产业园苏虞张西、卫渭路南,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
129,木渎惠润,吴中区木渎镇惠润金峰邻里中心（宝带路与谢村路交叉口）,"Wi-Fi,礼品卡"
130,昆山九方城,昆山市萧林中路666号的九方商场负一层B1-017,"Wi-Fi,点唱机,店内参观,礼品卡"
131,港龙,高新区 长江路556号港龙城市商业广场,"Wi-Fi,礼品卡,生日餐会"
132,滨江,常熟市经济技术开发区江南大道95号邻里中心一层,"Wi-Fi,点唱机,礼品卡,生日餐会"
133,吾悦广场,金港大道388号吾悦商业广场,"Wi-Fi,礼品卡"
134,吴中万达,石湖西路188号吴中万达广场2号门1楼肯德基,"Wi-Fi,礼品卡,生日餐会"
135,常熟支塘,常熟市支塘镇支川路118号2幢常客隆超市一层,"Wi-Fi,店内参观,礼品卡,生日餐会"
136,木渎花样城,苏州吴中区木渎镇中山东路98号花样城1号楼,"24小时,Wi-Fi,点唱机,礼品卡"
137,张家港汇金,张家港市人民东路12号,"Wi-Fi,礼品卡,生日餐会"
138,君地曼哈顿,君地曼哈顿广场(电话：62816003）,"Wi-Fi,店内参观,礼品卡,生日餐会"
139,湖东邻里,园区星湖街178号湖东邻里中心南楼N101号房一层餐厅,"Wi-Fi,店内参观,礼品卡"
140,双湖邻里,苏州工业园区企鸿路18号双湖邻里中心1F,"Wi-Fi,店内参观,礼品卡,生日餐会"
141,昆山崇邦(昆城广场）,昆山市人民南路1188号“昆城广场”一号楼133单元部分、134单元及135单元,"Wi-Fi,店内参观"
142,长江湾,长江路815号长江湾商业广场1幢102室,Wi-Fi
143,时尚水岸,高新区科技城武夷山路69号时尚水岸商业广场4幢一层,Wi-Fi
144,相城圆融广场,高铁新城南天成路111号,"Wi-Fi,店内参观"
145,接驾桥餐厅,人民路1640号,"Wi-Fi,店内参观"
146,美乐城,邵昂路69号美乐城一楼101号,"Wi-Fi,店内参观,生日餐会"
147,南环汇邻,南园南路5号汇邻中心一层,"24小时,Wi-Fi,店内参观,生日餐会"
148,常熟常汇,常汇生活广场1层海虞北路88号,"Wi-Fi,点唱机,生日餐会"
149,昆山南站精选,昆山高铁南站候车大厅1号检票口旁,精选店
