序号,房名,位置,大小,市场价
0,龙湖时代上城,[ 建邺 河西中部 ] 河西大街与云龙山路交汇处,37-63㎡,周边均价31933元/m²
1,望景名府,[ 溧水 溧水 ] 天生桥路与凤凰井路交汇口（向南约400...,109-225㎡,最低8962元/㎡起
2,石林云城,[ 雨花台 板桥 ] 雨花开发区凤集大道6号,73-168㎡,最低26074元/㎡起
3,雅居乐雅尊府,[ 浦口 江浦街道 ] 文德珠江路11号,108-140㎡,均价29830元/㎡
4,云溪璟园,[ 江宁 禄口 ] 永欣大道南侧湖秦路与肖山路交汇处,85-122㎡,均价18000元/㎡
5,龙湖紫金原著,[ 玄武 钟山景区 ] 中山门大街与双拜巷交汇处,194-367㎡,最低38952元/㎡起
6,花语熙岸府,[ 浦口 江北中央商务区 ] 北至临滁路，西至江北快速路，南至规划...,97-140㎡,周边均价31900元/m²
7,和棠瑞府,[ 六合 龙池 ] 龙城路35号,79.61-103.9㎡,均价17300元/㎡
8,百家湖艺术公馆,[ 江宁 百家湖 ] 江宁区天元西路146号,90-156㎡,均价23000元/㎡
9,云际花园,[ 建邺 河西中部 ] 南京市建邺区创意路与楠溪江东街交汇处,140-180㎡,均价47979元/㎡
10,世茂璀璨滨江,[ 鼓楼 鼓楼滨江 ] 下关区宝善小区,114-240㎡,周边均价43284元/m²
11,望东国际,[ 江宁 麒麟科技园 ] 四望路18号；九乡河东路与四望路交汇处,35㎡,均价20304元/㎡
12,康缘养生谷,[ 南京周边 句容 ] 茅山湖东南侧、茅山大道西侧,112-143㎡,总价250万元/套起
13,汝悦铭著,[ 江宁 滨江 ] 盛江路,89-119㎡,均价19800元/㎡
14,鱼嘴润府,[ 建邺 河西南部 ] 高庙路与保双街交叉路口,100-140㎡,均价39800元/㎡
15,明发珍珠泉9号,[ 浦口 老山 ] 珍珠街178-1号,277-501㎡,总价1030万元/套起
16,明发阅山悦府,[ 浦口 江浦街道 ] 沿山大道,98-223㎡,均价29000元/㎡
17,中粮悦天地,[ 江宁 大学城 ] 鹏山路28号,35-40㎡,均价20000元/㎡
18,苏宁北外滩水城,[ 浦口 桥北 ] 浦洲路66号,83-135㎡,均价20500元/㎡
19,碧桂园如山湖城,[ 南京周边 其他 ] 安徽和县石杨镇如山湖西侧（宁乌和滁乌...,68-245㎡,最低4000元/㎡起
20,东方万汇城,[ 浦口 江浦街道 ] 浦口大道,39.3-83㎡,均价17000元/㎡
21,明发香山郡,[ 浦口 江浦街道 ] 沿山大道,89-138㎡,最低25098元/㎡起
22,明发江湾新城,[ 南京周边 其他 ] 宁乌公路,78.39-135㎡,最低7500元/㎡起
23,尚峰尚水,[ 浦口 老山 ] 林庄路,242-520㎡,最低17930元/㎡起
24,复地御钟山,[ 栖霞 马群 ] 马群街2号,140-255㎡,周边均价34567元/m²
25,龙湖·紫都城,[ 鼓楼 建宁路 ] 建宁路与金贸大街交汇处,75-75㎡,均价16500元/㎡
26,万宇汽车五金博览中心,[ 江宁 淳化 ] 龙凤路2号,800000㎡,最低20000元/㎡起
27,瀚瑞中心,[ 雨花台 南京南站 ] 南京南站丁墙路9号,70000㎡,周边均价39385元/m²
28,云树公馆,[ 雨花台 南京南站 ] 丁墙路与明城大道交汇处,32-70㎡,均价33000元/㎡
29,五矿澜悦溪山,[ 江宁 大学城 ] 正方大道与龙葛路交叉口,96-127㎡,均价30645元/㎡
30,荣盛花语馨城,[ 栖霞 龙潭 ] 南京市栖霞区龙潭新城金港南路与新戴路...,75-118㎡,均价17500元/㎡
31,空港新都孔雀城月鹭府,[ 溧水 溧水 ] 北至福合路南至福幸路东至创业路西至规...,92-121㎡,均价12600元/㎡
32,锦麟融誉府,[ 栖霞 迈皋桥 ] 栖霞北苑东路与熙湲路交汇处,96-143㎡,均价35100元/㎡
33,绿地理想城,[ 江宁 正方新城 ] 正方中路,95-122㎡,均价23000元/㎡
34,碧桂园泊云间,[ 江宁 九龙湖 ] 秣陵街道天禧路19号，地铁3号线秣周东...,125-280㎡,均价32000元/㎡
35,德盈·龙华国际广场,[ 浦口 江浦街道 ] 地铁10号线龙华路站约300米,37-121㎡,均价30300元/㎡
36,中锐星棠府,[ 江宁 湖熟 ] 宝塔北路与友谊路交叉口,88-115㎡,周边均价18000元/㎡
37,宝能滨江府,[ 栖霞 燕子矶 ] 东至十里长沟，南至太新路，西至燕园路...,93-140㎡,周边均价38900元/㎡
38,万科星耀都荟花园,[ 江宁 岔路口 ] 绿都大道与博爱街交汇处,95-160㎡,周边均价48000元/㎡
39,玄武映,[ 玄武 红山 ] 黑墨营101号,98-130㎡,最低43324元/㎡起
40,风华府,[ 浦口 江浦街道 ] 城南中心旁江淼路与浦云路交汇处,89-140㎡,最低26648元/㎡起
41,江宁孔雀城紫樾澜庭,[ 江宁 湖熟 ] 瑞鑫路与友谊路交界处,87-105㎡,均价18562元/㎡
42,荣盛隽峰雅苑,[ 江宁 正方新城 ] 江苏软件园科技大道以西、研发二路以南,78-178㎡,均价21000元/㎡
43,绿地紫金中心公寓,[ 鼓楼 湖南路 ] 湖南路与中山北路交汇处（狮子桥正对面...,45-91㎡,均价48000元/㎡
44,新江北孔雀城,[ 南京周边 滁州 ] 来安新城104国道与汊河大桥交汇处,82-123㎡,总价68万元/套起
